experiment_id,a1_x,a1_y,a1_z,a2_x,a2_y,a2_z
1,110893.77974139366,69427.53767457324,105583.2908500576,166423.85819316973,149273.3453865674,128808.8937264209
2,101082.54347572025,61959.42029321882,101546.6374402784,153039.44702193336,142238.78399596614,109717.02009623795
3,97756.07025833985,61128.4745896074,94778.05246604608,153413.6759880008,140482.21791116183,104928.61966547693
4,88633.53430703437,59004.444608802005,92924.64133140832,150188.08099308057,137866.1675426717,106415.20698105921
5,99103.14567843098,65344.36377515027,108242.79936922119,160712.19986800064,147567.16653746777,104906.84011125183
6,110996.32997623364,98340.38163649681,125309.41946328722,173351.81500687342,213443.93277185046,138096.41889146375
7,100281.30442794602,88557.8210931299,119494.65070473027,152080.77784788772,193940.00030378887,115136.2219011014
8,90573.77866926132,65033.37412665817,97316.57051784654,170213.49514457022,157609.89898110164,102572.59365160421
9,104293.79836574999,77015.16405556486,108249.96885607309,181820.32991838647,158512.38227606606,145675.837943084
10,110064.72179133678,99806.60691931007,105930.38035191329,176566.38324103405,220216.12987292866,161961.69061822322
11,84879.96379429674,67463.4716833495,94740.80289314369,164722.02627773216,162622.26336630655,106119.1049669758
12,99594.5783306839,81486.72399222283,98538.17643688443,176939.7261431959,196650.5637622953,126093.17323938521
13,93954.04205268374,68774.24873284265,101587.58512674477,157816.36621851876,162102.89057049202,109905.95431952506
14,95112.40201268008,65910.02797476451,97837.52738792304,154750.22517536738,147545.31448060178,92818.43677763465
15,93708.16250242243,71637.24967591834,93137.78133034587,172143.8272911879,167995.96950370425,110214.6628530748
16,88389.301679038,61820.32393394597,98468.80322646096,163480.31728414336,147710.59648508733,88189.22517623319
17,111917.03491251686,88198.5731828081,100969.49438692331,169854.83133866705,199914.4532435801,163641.14933091623
18,98790.32242466077,67733.98762321583,119406.409983579,173341.9370160122,144823.39809610625,117548.06154168512
19,110354.70536760394,76577.57890509414,103233.53443896453,153783.8700424947,150385.76274332785,156865.32938283327
20,491799.0380177721,398680.9450473299,397307.45328279835,399650.71972516115,560802.4175638602,790615.3634615733
21,88819.24405819637,72455.29650848947,107242.30732022859,122462.6308817822,141104.84822758977,110586.8836122099
22,75158.99455409407,60017.04987530721,105021.80888887872,146407.3164988943,133687.46453481782,95861.0313030246
23,128119.05513601012,94076.16576995564,119486.80866332525,158068.72805318204,179532.80775323499,377798.2598184997
24,121471.1868926637,100933.66332653379,134584.31378904355,167240.00089354152,215527.67456841085,112291.16556372792
25,122836.52474455067,103894.8991727625,141219.11602870762,206183.74583024308,224180.74604579966,127415.13003155446
26,108318.36581908597,75054.15251730237,98441.62036370275,165347.1248111653,152173.13065219595,259297.68224033804
27,84084.90463785747,55003.74156223875,100613.6938224931,122324.48473450322,105547.57316865,79507.87737669745
28,102624.1542104051,74326.06382649699,96435.32260031305,161991.83222532753,150392.16910898383,84379.94526767143
29,109521.86018971869,83848.66094440976,91440.9700205696,166260.36979017596,180411.76407631344,87589.57307890795
30,213534.1375554478,146978.06116613853,175996.7583204564,229370.71718834733,291030.5436318549,462628.687496066
